country,months,event,event_type,label
['Bangladesh'],"['June', 'July', 'August', 'September']",['Main wet/ Rainy/ Monsoon season'],['Seasonal hazard'],['Monsoon season']
['Bangladesh'],"['December', 'January', 'February']",['Dry season'],['Seasonal hazard'],['Dry season']
['Bangladesh'],"['April', 'May']",['Cyclone/ Typhoon/ Hurricane season'],['Seasonal hazard'],['Cyclone season']
['Bangladesh'],"['October', 'November']",['Cyclone/ Typhoon/ Hurricane season'],['Seasonal hazard'],['Cyclone season']
['Brazil'],"['January', 'February', 'March']",['Main wet/ Rainy/ Monsoon season'],['Seasonal hazard'],['Rainy season']
['Brazil'],"['July', 'August', 'September']",['Dry season'],['Seasonal hazard'],['Dry season']
['Chile'],"['April', 'May', 'June', 'July']",['Main wet/ Rainy/ Monsoon season'],['Seasonal hazard'],['Rainy season']
['Chile'],"['October', 'November', 'December', 'January', 'February', 'March']",['Dry season'],['Seasonal hazard'],['Dry season']
['India'],"['June', 'July', 'August', 'September']",['Main wet/ Rainy/ Monsoon season'],['Seasonal hazard'],['Monsoon season']
['India'],"['March', 'April', 'May']",['Cyclone/ Typhoon/ Hurricane season'],['Seasonal hazard'],['Cyclone season']
['India'],"['June', 'July', 'August', 'September']",['Floods'],['Seasonal hazard'],['Floods']
['India'],"['October', 'November', 'December']",['Cyclone/ Typhoon/ Hurricane season'],['Seasonal hazard'],['Cyclone season']
['Indonesia'],"['December', 'January', 'February']",['Main wet/ Rainy/ Monsoon season'],['Seasonal hazard'],"['Rainy season', 'Monsoon season']"
['Indonesia'],"['June', 'July', 'August', 'September', 'October']",['2nd wet/ Rainy/ Monsoon season'],['Seasonal hazard'],['Monsoon season']
['Indonesia'],"['October', 'November', 'December', 'January', 'February', 'March', 'April']",['Cyclone/ Typhoon/ Hurricane season'],['Seasonal hazard'],['Cyclone season']
['Mexico'],"['August', 'September', 'October', 'November']",['Main wet/ Rainy/ Monsoon season'],['Seasonal hazard'],['Rainy season']
['Mexico'],"['June', 'July', 'August', 'September', 'October', 'November']",['Cyclone/ Typhoon/ Hurricane season'],['Seasonal hazard'],['Hurricane season']
['Nigeria'],"['May', 'June', 'July', 'August', 'September', 'October']",['Main wet/ Rainy/ Monsoon season'],['Seasonal hazard'],['Rainy season']
['Nigeria'],"['March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November']",['Main wet/ Rainy/ Monsoon season'],['Seasonal hazard'],['Rainy season']
['Nigeria'],"['July', 'August', 'September']",['Floods'],['Seasonal hazard'],['Floods']
['Philippines'],"['May', 'June', 'July', 'August', 'September', 'October']",['Main wet/ Rainy/ Monsoon season'],['Seasonal hazard'],['Monsoon season']
['Philippines'],"['May', 'June', 'July', 'August', 'September', 'October', 'November']",['Cyclone/ Typhoon/ Hurricane season'],['Seasonal hazard'],['Cyclone season']
['Turkey'],"['December', 'January', 'February']",['Cold season'],['Seasonal hazard'],['Cold season']
