id,iso,country,country_wide,adm1,adm1_eng_name,months,event,event_type,label,comment,source,source_date,source_link
101,['IND'],['India'],True,"IND.1_1, IND.2_1, IND.3_1, IND.4_1, IND.5_1, IND.6_1, IND.7_1, IND.8_1, IND.9_1, IND.10_1, IND.11_1, IND.12_1, IND.13_1, IND.14_1, IND.15_1, IND.16_1, IND.17_1, IND.18_1, IND.19_1, IND.20_1, IND.21_1, IND.22_1, IND.23_1, IND.24_1, IND.25_1, IND.26_1, IND.27_1, IND.28_1, IND.29_1, IND.30_1, IND.31_1, IND.32_1, IND.33_1, IND.34_1, IND.35_1, IND.36_1",,"['March', 'April', 'May']",['1st/main harvest'],['Harvest'],['Wheat'],Wheat (Rabi) harvest season ,FAO,2021-03-12,https://reliefweb.int/sites/reliefweb.int/files/resources/IND_13.pdf
102,['IND'],['India'],True,"IND.1_1, IND.2_1, IND.3_1, IND.4_1, IND.5_1, IND.6_1, IND.7_1, IND.8_1, IND.9_1, IND.10_1, IND.11_1, IND.12_1, IND.13_1, IND.14_1, IND.15_1, IND.16_1, IND.17_1, IND.18_1, IND.19_1, IND.20_1, IND.21_1, IND.22_1, IND.23_1, IND.24_1, IND.25_1, IND.26_1, IND.27_1, IND.28_1, IND.29_1, IND.30_1, IND.31_1, IND.32_1, IND.33_1, IND.34_1, IND.35_1, IND.36_1",,"['March', 'April', 'May', 'June']",['1st/main harvest'],['Harvest'],['Rice'],Rice (Rabi) harvest season ,FAO,2021-03-12,https://reliefweb.int/sites/reliefweb.int/files/resources/IND_13.pdf
103,['IND'],['India'],True,"IND.1_1, IND.2_1, IND.3_1, IND.4_1, IND.5_1, IND.6_1, IND.7_1, IND.8_1, IND.9_1, IND.10_1, IND.11_1, IND.12_1, IND.13_1, IND.14_1, IND.15_1, IND.16_1, IND.17_1, IND.18_1, IND.19_1, IND.20_1, IND.21_1, IND.22_1, IND.23_1, IND.24_1, IND.25_1, IND.26_1, IND.27_1, IND.28_1, IND.29_1, IND.30_1, IND.31_1, IND.32_1, IND.33_1, IND.34_1, IND.35_1, IND.36_1",,"['January', 'February', 'March', 'April', 'May']",['1st/main harvest'],['Harvest'],['Maize'],Maize (Rabi) harvest season ,FAO,2021-03-12,https://reliefweb.int/sites/reliefweb.int/files/resources/IND_13.pdf
107,['IND'],['India'],True,"IND.1_1, IND.2_1, IND.3_1, IND.4_1, IND.5_1, IND.6_1, IND.7_1, IND.8_1, IND.9_1, IND.10_1, IND.11_1, IND.12_1, IND.13_1, IND.14_1, IND.15_1, IND.16_1, IND.17_1, IND.18_1, IND.19_1, IND.20_1, IND.21_1, IND.22_1, IND.23_1, IND.24_1, IND.25_1, IND.26_1, IND.27_1, IND.28_1, IND.29_1, IND.30_1, IND.31_1, IND.32_1, IND.33_1, IND.34_1, IND.35_1, IND.36_1",,"['May', 'June', 'July', 'August', 'September']",['Planting and growing'],['Planting and growing'],['Rice'],Rice (Kharif) sowing and growing season,FAO,2021-03-12,https://reliefweb.int/sites/reliefweb.int/files/resources/IND_13.pdf
109,['IND'],['India'],True,"IND.1_1, IND.2_1, IND.3_1, IND.4_1, IND.5_1, IND.6_1, IND.7_1, IND.8_1, IND.9_1, IND.10_1, IND.11_1, IND.12_1, IND.13_1, IND.14_1, IND.15_1, IND.16_1, IND.17_1, IND.18_1, IND.19_1, IND.20_1, IND.21_1, IND.22_1, IND.23_1, IND.24_1, IND.25_1, IND.26_1, IND.27_1, IND.28_1, IND.29_1, IND.30_1, IND.31_1, IND.32_1, IND.33_1, IND.34_1, IND.35_1, IND.36_1",,"['June', 'July', 'August']",['Planting and growing'],['Planting and growing'],['Maize'],Maize (Kharif) sowing and growing season,FAO,2021-03-12,https://reliefweb.int/sites/reliefweb.int/files/resources/IND_13.pdf
113,['IND'],['India'],True,"IND.1_1, IND.2_1, IND.3_1, IND.4_1, IND.5_1, IND.6_1, IND.7_1, IND.8_1, IND.9_1, IND.10_1, IND.11_1, IND.12_1, IND.13_1, IND.14_1, IND.15_1, IND.16_1, IND.17_1, IND.18_1, IND.19_1, IND.20_1, IND.21_1, IND.22_1, IND.23_1, IND.24_1, IND.25_1, IND.26_1, IND.27_1, IND.28_1, IND.29_1, IND.30_1, IND.31_1, IND.32_1, IND.33_1, IND.34_1, IND.35_1, IND.36_1",,"['October', 'November', 'December', 'January', 'February']",['Planting and growing'],['Planting and growing'],['Wheat'],Wheat (Rabi) sowing and growing season,FAO,2021-03-12,https://reliefweb.int/sites/reliefweb.int/files/resources/IND_13.pdf
114,['IND'],['India'],True,"IND.1_1, IND.2_1, IND.3_1, IND.4_1, IND.5_1, IND.6_1, IND.7_1, IND.8_1, IND.9_1, IND.10_1, IND.11_1, IND.12_1, IND.13_1, IND.14_1, IND.15_1, IND.16_1, IND.17_1, IND.18_1, IND.19_1, IND.20_1, IND.21_1, IND.22_1, IND.23_1, IND.24_1, IND.25_1, IND.26_1, IND.27_1, IND.28_1, IND.29_1, IND.30_1, IND.31_1, IND.32_1, IND.33_1, IND.34_1, IND.35_1, IND.36_1",,"['November', 'December', 'January', 'February']",['Planting and growing'],['Planting and growing'],['Rice'],Rice (Rabi) sowing and growing season,FAO,2021-03-12,https://reliefweb.int/sites/reliefweb.int/files/resources/IND_13.pdf
115,['IND'],['India'],True,"IND.1_1, IND.2_1, IND.3_1, IND.4_1, IND.5_1, IND.6_1, IND.7_1, IND.8_1, IND.9_1, IND.10_1, IND.11_1, IND.12_1, IND.13_1, IND.14_1, IND.15_1, IND.16_1, IND.17_1, IND.18_1, IND.19_1, IND.20_1, IND.21_1, IND.22_1, IND.23_1, IND.24_1, IND.25_1, IND.26_1, IND.27_1, IND.28_1, IND.29_1, IND.30_1, IND.31_1, IND.32_1, IND.33_1, IND.34_1, IND.35_1, IND.36_1",,"['September', 'October', 'November', 'December']",['Planting and growing'],['Planting and growing'],['Maize'],Maize (Rabi) sowing and growing season,FAO,2021-03-12,https://reliefweb.int/sites/reliefweb.int/files/resources/IND_13.pdf
119,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['July', 'August', 'September']",['1st/main harvest'],['Harvest'],['Maize'],Maize (Dry S.)1st harvest,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
128,['IDN'],['Indonesia'],True,"IDN.1_1, IDN.2_1, IDN.3_1, IDN.4_1, IDN.5_1, IDN.6_1, IDN.7_1, IDN.8_1, IDN.9_1, IDN.10_1, IDN.11_1, IDN.12_1, IDN.13_1, IDN.14_1, IDN.15_1, IDN.16_1, IDN.17_1, IDN.19_1, IDN.18_1, IDN.20_1, IDN.21_1, IDN.23_1, IDN.22_1, IDN.24_1, IDN.25_1, IDN.26_1, IDN.27_1, IDN.28_1, IDN.29_1, IDN.30_1, IDN.31_1, IDN.32_1, IDN.33_1",,"['February', 'March']",['1st/main harvest'],['Harvest'],['Rice'],Rice 1st Harvest,FAO,2021-03-25,https://reliefweb.int/sites/reliefweb.int/files/resources/IDN_17.pdf
